[2017-05-23 11:29:43.996223] [0x00001838] | ERROR  | CLog::GetInstance failed. u32Ret = 0x45f
[2017-05-23 11:29:44.002223] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.002223] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.013224] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.014224] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.014224] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.014224] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.120230] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.120230] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.120230] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.120230] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.121230] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.121230] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.220236] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.220236] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.221236] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.221236] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.221236] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.222236] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.320242] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.320242] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.321242] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.321242] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.321242] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.322242] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.420247] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.420247] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.421247] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.421247] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.421247] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.422247] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.521253] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.521253] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.522253] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.522253] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.522253] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.522253] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.621259] [0x00001128] | DEBUG  | panbingfan
[2017-05-23 11:29:44.622259] [0x0000244c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.622259] [0x00002590] | DEBUG  | panbingfan
[2017-05-23 11:29:44.622259] [0x00002734] | DEBUG  | panbingfan
[2017-05-23 11:29:44.622259] [0x0000233c] | DEBUG  | panbingfan
[2017-05-23 11:29:44.623259] [0x000018fc] | DEBUG  | panbingfan
[2017-05-23 11:29:44.721265] [0x00001128] | DEBUG  | panbingfan
